id,season,home_team_goal,away_team_goal,date,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,name,name,team_long_name,team_short_name,team_long_name,team_short_name
1729,2008/2009,1,1,2008-08-17 00:00:00,30726,30362,30620,30865,32569,24148,34944,30373,24154,24157,30829,24224,25518,24228,30929,29581,38807,40565,30360,33852,34574,37799,England,England Premier League,Manchester United,MUN,Newcastle United,NEW
1730,2008/2009,1,0,2008-08-16 00:00:00,23686,26111,38835,30986,31291,31013,30935,39297,26181,30960,36410,36373,36832,23115,37280,24728,24664,31088,23257,24171,25922,27267,England,England Premier League,Arsenal,ARS,West Bromwich Albion,WBA
1731,2008/2009,0,1,2008-08-16 00:00:00,32562,38836,24446,24408,36786,38802,24655,17866,30352,23927,24410,30660,37442,30617,24134,414792,37139,30618,40701,24800,24635,30853,England,England Premier League,Sunderland,SUN,Liverpool,LIV
1732,2008/2009,2,1,2008-08-16 00:00:00,36374,30966,23818,37277,30687,36394,37169,24223,24773,34543,23139,34421,34987,35472,111865,25005,35327,25150,97988,41877,127857,34466,England,England Premier League,West Ham United,WHU,Wigan Athletic,WIG
1733,2008/2009,4,2,2008-08-17 00:00:00,30380,30357,24658,43280,23282,38609,24780,23782,23354,23264,26165,31432,46403,24208,23939,33963,47413,40198,42119,,33633,107216,England,England Premier League,Aston Villa,AVL,Manchester City,MCI
1734,2008/2009,2,3,2008-08-16 00:00:00,31465,30371,24004,33086,30857,24011,109058,23268,24846,24006,24160,30622,37764,19020,23921,24136,30342,23889,23916,23922,34176,30646,England,England Premier League,Everton,EVE,Blackburn Rovers,BLB
1735,2008/2009,2,1,2008-08-16 00:00:00,35442,24166,24167,38899,24161,24753,97932,24393,30892,35608,42183,30455,34182,38697,24531,40006,30895,30818,31097,23760,41157,23949,England,England Premier League,Middlesbrough,MID,Tottenham Hotspur,TOT
1736,2008/2009,3,1,2008-08-16 00:00:00,23932,26454,23783,24336,23785,23931,23933,35532,24372,23934,34261,23794,23369,34214,40695,40574,25668,23333,23253,23072,23288,23314,England,England Premier League,Bolton Wanderers,BOL,Stoke City,STK
1737,2008/2009,2,1,2008-08-16 00:00:00,23021,34430,34275,24509,23022,23438,23023,30595,23025,39073,23352,30633,37266,26777,23780,24781,24020,30338,24843,24737,34248,24741,England,England Premier League,Hull City,HUL,Fulham,FUL
1738,2008/2009,4,0,2008-08-17 00:00:00,30859,25925,30911,30627,38834,30631,32345,30699,30686,30630,37804,36286,34036,34418,24216,23953,25517,23988,26108,38820,30348,30830,England,England Premier League,Chelsea,CHE,Portsmouth,POR
1739,2008/2009,2,0,2008-10-29 00:00:00,35906,38994,30620,30865,32569,30893,24148,40961,40945,38817,27430,36374,36394,24751,23818,26348,30966,24747,33049,27665,33781,24773,England,England Premier League,Manchester United,MUN,West Ham United,WHU
1740,2008/2009,4,4,2008-10-29 00:00:00,23686,26111,38835,30616,31291,31013,30613,39297,26181,30843,30960,30455,32870,46403,38697,40006,23760,31097,30818,24656,31921,40755,England,England Premier League,Arsenal,ARS,Tottenham Hotspur,TOT
1741,2008/2009,2,0,2008-10-29 00:00:00,22978,24166,24163,24167,24161,24753,24393,33128,30892,42183,35608,31432,23939,24208,24211,24209,39027,30367,24213,40198,33974,51553,England,England Premier League,Middlesbrough,MID,Manchester City,MCI
1742,2008/2009,0,1,2008-10-29 00:00:00,23932,26454,23783,24336,23785,37996,23933,35532,24372,23934,34261,31465,30371,24004,23268,33086,24011,39618,24006,36012,24160,30735,England,England Premier League,Bolton Wanderers,BOL,Everton,EVE
1743,2008/2009,0,3,2008-10-29 00:00:00,23021,40132,26066,34275,23022,34437,23023,30595,39073,23352,26143,30859,25925,30911,30627,38834,32345,30631,30686,30630,30679,37804,England,England Premier League,Hull City,HUL,Chelsea,CHE
1744,2008/2009,1,0,2008-10-29 00:00:00,23794,40574,40005,40695,35467,22994,23333,24133,25668,23314,38755,24527,36786,24740,24408,43259,38802,24411,,30352,23927,33418,England,England Premier League,Stoke City,STK,Sunderland,SUN
1745,2008/2009,1,0,2008-10-29 00:00:00,30660,37442,24134,30617,34222,34601,30889,95327,30915,30618,37139,36286,24630,26108,24216,40987,25543,24653,25517,23988,63520,30830,England,England Premier League,Liverpool,LIV,Portsmouth,POR
1746,2008/2009,3,2,2008-10-29 00:00:00,30380,30357,43280,33863,23282,38807,38609,23782,24780,23354,23264,30622,49571,19020,23921,37764,30842,38711,24136,23916,,34947,England,England Premier League,Aston Villa,AVL,Blackburn Rovers,BLB
1747,2008/2009,2,1,2008-10-28 00:00:00,24224,25518,24228,30929,37475,33852,40565,24205,34574,37799,24225,36373,31731,42594,26527,24728,40055,24664,38433,24171,23257,32570,England,England Premier League,Newcastle United,NEW,West Bromwich Albion,WBA
1748,2008/2009,2,0,2008-10-29 00:00:00,30633,37266,23780,26777,24781,24020,24843,30338,24737,31907,24741,34421,35472,25005,111865,97988,25150,38816,34987,35327,34466,127857,England,England Premier League,Fulham,FUL,Wigan Athletic,WIG
1749,2008/2009,4,3,2008-11-01 00:00:00,30726,30615,30620,30865,32569,30893,34944,40961,40945,27430,30829,23021,40132,26066,34275,23022,34437,23946,30595,39073,23352,26143,England,England Premier League,Manchester United,MUN,Hull City,HUL
1750,2008/2009,2,1,2008-11-01 00:00:00,30455,46403,30354,38697,40006,23760,34182,24656,25421,31097,23949,30660,37442,30617,25984,414792,37139,30618,38818,30889,37920,24635,England,England Premier League,Tottenham Hotspur,TOT,Liverpool,LIV
1751,2008/2009,1,0,2008-11-01 00:00:00,31465,30371,24004,23268,33086,36012,24006,39618,24011,30876,24160,30633,37266,23780,26777,24781,24020,24843,30338,24737,24741,31907,England,England Premier League,Everton,EVE,Fulham,FUL
1752,2008/2009,1,1,2008-11-01 00:00:00,22978,24166,24163,24167,24161,24753,24393,33128,30892,42183,35608,36374,30687,24751,23818,26348,36394,109898,24747,30734,33781,118390,England,England Premier League,Middlesbrough,MID,West Ham United,WHU
1753,2008/2009,2,0,2008-11-03 00:00:00,24224,25518,24228,30929,37475,33852,24205,30360,34574,37799,24225,30380,30357,33863,43280,23282,38807,24780,23782,23354,26165,23264,England,England Premier League,Newcastle United,NEW,Aston Villa,AVL
1754,2008/2009,2,0,2008-11-02 00:00:00,23932,26454,23783,24336,23785,23784,23933,35532,37996,23934,24372,31432,30509,24211,23939,24208,24213,39027,40198,30367,107216,33974,England,England Premier League,Bolton Wanderers,BOL,Manchester City,MCI
1755,2008/2009,2,2,2008-11-01 00:00:00,36373,31731,42594,26527,24728,24171,24664,40055,38433,32570,27267,30622,49571,19020,23921,25667,30842,38711,30849,24136,34176,34947,England,England Premier League,West Bromwich Albion,WBA,Blackburn Rovers,BLB
1756,2008/2009,1,2,2008-11-01 00:00:00,36286,34036,24216,34418,40987,25517,23988,24653,63520,30830,30348,34421,34987,24230,35472,111865,35327,97988,25150,24663,34466,127857,England,England Premier League,Portsmouth,POR,Wigan Athletic,WIG
1757,2008/2009,2,1,2008-11-01 00:00:00,23794,40574,40005,40695,35467,35636,23333,24133,25668,38755,23314,23686,26111,30831,30616,31291,39297,30613,23678,27277,30960,36410,England,England Premier League,Stoke City,STK,Arsenal,ARS
1758,2008/2009,5,0,2008-11-01 00:00:00,30859,25925,26564,30627,38834,30686,32345,30631,30630,37804,30679,24527,38836,24446,24740,43259,38802,24411,24655,30352,109434,30988,England,England Premier League,Chelsea,CHE,Sunderland,SUN
1759,2008/2009,2,1,2008-11-08 00:00:00,23686,26111,38835,30616,31291,31013,30613,39297,26181,27277,36410,30726,30615,30620,30865,32569,30893,40961,34944,30802,30829,27430,England,England Premier League,Arsenal,ARS,Manchester United,MUN
1760,2008/2009,3,0,2008-11-08 00:00:00,30660,37442,30617,25984,34222,24800,38818,30618,37920,37139,24635,36373,31731,42594,26527,24728,40055,38433,24664,31088,32570,27267,England,England Premier League,Liverpool,LIV,West Bromwich Albion,WBA
1761,2008/2009,1,2,2008-11-08 00:00:00,24527,36786,24740,24446,24408,38802,24411,17866,30352,33418,24410,36286,34036,24216,34418,24630,38820,24653,23988,40987,30830,30348,England,England Premier League,Sunderland,SUN,Portsmouth,POR
1762,2008/2009,1,3,2008-11-08 00:00:00,36374,30687,24751,23818,26348,36394,24223,33049,30734,33781,118390,31465,30371,24004,23268,33086,24011,30876,109058,24006,30735,25666,England,England Premier League,West Ham United,WHU,Everton,EVE
1763,2008/2009,1,2,2008-11-09 00:00:00,30380,33863,24658,43280,23282,24780,23782,23283,38807,23264,23354,22978,33754,24163,24167,24161,24753,24393,33128,30892,42183,35608,England,England Premier League,Aston Villa,AVL,Middlesbrough,MID
1764,2008/2009,1,2,2008-11-09 00:00:00,31432,30509,24208,24211,33963,30367,24213,42119,30340,33974,25342,30455,46403,38697,30354,40006,23760,24656,34182,30818,31097,23949,England,England Premier League,Manchester City,MCI,Tottenham Hotspur,TOT
1765,2008/2009,0,2,2008-11-09 00:00:00,30622,49571,35506,23921,25667,30849,24136,,38711,23916,34176,30859,25925,26564,30627,30635,30631,32345,30686,31906,37804,30679,England,England Premier League,Blackburn Rovers,BLB,Chelsea,CHE
1766,2008/2009,2,1,2008-11-09 00:00:00,30633,37266,23780,26777,24781,24020,24843,30338,24737,24741,31907,24224,25518,30929,26161,37475,33852,30360,24205,34574,37799,24225,England,England Premier League,Fulham,FUL,Newcastle United,NEW
1767,2008/2009,0,1,2008-11-08 00:00:00,23021,40132,34275,26066,23022,34437,23023,30595,39073,23352,26143,23932,26454,23783,24336,23785,23934,23784,35532,24372,23937,34261,England,England Premier League,Hull City,HUL,Bolton Wanderers,BOL
1768,2008/2009,0,0,2008-11-08 00:00:00,34421,34987,24230,35472,111865,35327,97988,25150,24663,34466,127857,23794,40574,40005,40695,35467,24133,23333,35636,25668,38755,23314,England,England Premier League,Wigan Athletic,WIG,Stoke City,STK
1769,2008/2009,5,0,2008-11-15 00:00:00,30726,24150,30865,43248,32569,30893,34944,24148,30802,38817,27430,23794,40574,40005,40695,35467,23333,24133,35636,25668,38755,23314,England,England Premier League,Manchester United,MUN,Stoke City,STK
1770,2008/2009,0,2,2008-11-15 00:00:00,23686,26111,38835,30616,31291,31013,30613,39297,26181,27277,36410,30380,33863,43280,24658,30357,23354,23283,38609,23782,38807,23264,England,England Premier League,Arsenal,ARS,Aston Villa,AVL
1771,2008/2009,0,0,2008-11-15 00:00:00,36374,30687,24751,23818,26348,30966,24223,109898,118390,34543,33781,36286,34036,26108,24216,24630,25517,24653,23988,40987,30830,30348,England,England Premier League,West Ham United,WHU,Portsmouth,POR
1772,2008/2009,1,1,2008-11-16 00:00:00,31465,30371,24004,23268,33086,24011,39618,30876,24006,24160,30735,22978,33754,24163,24167,24161,24393,33128,35544,30892,35608,42183,England,England Premier League,Everton,EVE,Middlesbrough,MID
1773,2008/2009,2,2,2008-11-15 00:00:00,24224,25518,26209,30929,37475,33852,24205,30360,34574,24225,37799,34421,35472,24230,25005,111865,35327,25150,97988,24890,41877,24841,England,England Premier League,Newcastle United,NEW,Wigan Athletic,WIG
1774,2008/2009,1,2,2008-11-15 00:00:00,30622,37764,19020,35506,24136,49571,38711,23889,23916,30646,34176,24527,36786,24740,24446,24408,24655,24411,30352,38802,33418,30988,England,England Premier League,Blackburn Rovers,BLB,Sunderland,SUN
