team_long_name,team_short_name,date,defenceAggression,defencePressure,defenceTeamWidth
FC Aarau,AAR,2010-02-22 00:00:00,55,50,45
FC Aarau,AAR,2014-09-19 00:00:00,44,47,54
FC Aarau,AAR,2015-09-10 00:00:00,44,47,54
Aberdeen,ABE,2010-02-22 00:00:00,70,60,70
Aberdeen,ABE,2011-02-22 00:00:00,47,47,52
Aberdeen,ABE,2012-02-22 00:00:00,40,40,60
Aberdeen,ABE,2013-09-20 00:00:00,42,42,60
Aberdeen,ABE,2014-09-19 00:00:00,42,41,60
Aberdeen,ABE,2015-09-10 00:00:00,45,49,63
AC Ajaccio,AJA,2010-02-22 00:00:00,70,30,30
AC Ajaccio,AJA,2011-02-22 00:00:00,45,45,50
AC Ajaccio,AJA,2012-02-22 00:00:00,47,38,53
AC Ajaccio,AJA,2013-09-20 00:00:00,47,38,53
AC Ajaccio,AJA,2014-09-19 00:00:00,47,38,53
AC Ajaccio,AJA,2015-09-10 00:00:00,47,38,53
Milan,ACM,2010-02-22 00:00:00,35,30,60
Milan,ACM,2011-02-22 00:00:00,50,50,50
Milan,ACM,2012-02-22 00:00:00,45,45,50
Milan,ACM,2013-09-20 00:00:00,49,48,53
Milan,ACM,2014-09-19 00:00:00,57,58,49
Milan,ACM,2015-09-10 00:00:00,57,58,49
Académica de Coimbra,ACA,2010-02-22 00:00:00,30,30,30
Académica de Coimbra,ACA,2011-02-22 00:00:00,45,30,65
Académica de Coimbra,ACA,2012-02-22 00:00:00,38,52,61
Académica de Coimbra,ACA,2013-09-20 00:00:00,38,52,61
Académica de Coimbra,ACA,2014-09-19 00:00:00,38,39,61
Académica de Coimbra,ACA,2015-09-10 00:00:00,38,39,61
ADO Den Haag,HAA,2010-02-22 00:00:00,30,30,30
ADO Den Haag,HAA,2011-02-22 00:00:00,62,46,65
ADO Den Haag,HAA,2012-02-22 00:00:00,58,50,62
ADO Den Haag,HAA,2013-09-20 00:00:00,58,50,52
ADO Den Haag,HAA,2014-09-19 00:00:00,50,57,52
ADO Den Haag,HAA,2015-09-10 00:00:00,50,40,52
Ajax,AJA,2010-02-22 00:00:00,30,30,30
Ajax,AJA,2011-02-22 00:00:00,57,65,63
Ajax,AJA,2012-02-22 00:00:00,65,68,60
Ajax,AJA,2013-09-20 00:00:00,65,68,50
Ajax,AJA,2014-09-19 00:00:00,53,64,64
Ajax,AJA,2015-09-10 00:00:00,53,64,59
UD Almería,ALM,2010-02-22 00:00:00,65,70,30
UD Almería,ALM,2011-02-22 00:00:00,68,58,67
UD Almería,ALM,2012-02-22 00:00:00,53,37,45
UD Almería,ALM,2013-09-20 00:00:00,53,37,45
UD Almería,ALM,2014-09-19 00:00:00,53,37,45
UD Almería,ALM,2015-09-10 00:00:00,53,37,45
RSC Anderlecht,AND,2010-02-22 00:00:00,50,70,70
RSC Anderlecht,AND,2011-02-22 00:00:00,50,70,70
RSC Anderlecht,AND,2012-02-22 00:00:00,43,45,52
RSC Anderlecht,AND,2013-09-20 00:00:00,43,60,65
RSC Anderlecht,AND,2014-09-19 00:00:00,50,60,65
RSC Anderlecht,AND,2015-09-10 00:00:00,50,53,61
Angers SCO,ANG,2010-02-22 00:00:00,55,30,30
Angers SCO,ANG,2011-02-22 00:00:00,45,45,50
Angers SCO,ANG,2012-02-22 00:00:00,44,44,51
Angers SCO,ANG,2013-09-20 00:00:00,44,44,51
Angers SCO,ANG,2014-09-19 00:00:00,44,44,51
Angers SCO,ANG,2015-09-10 00:00:00,44,44,51
Arka Gdynia,ARK,2010-02-22 00:00:00,70,65,70
Arka Gdynia,ARK,2011-02-22 00:00:00,48,47,45
AC Arles-Avignon,ARL,2010-02-22 00:00:00,50,30,35
AC Arles-Avignon,ARL,2011-02-22 00:00:00,45,25,35
AC Arles-Avignon,ARL,2012-02-22 00:00:00,32,44,36
AC Arles-Avignon,ARL,2013-09-20 00:00:00,43,39,58
AC Arles-Avignon,ARL,2014-09-19 00:00:00,53,44,57
AC Arles-Avignon,ARL,2015-09-10 00:00:00,53,48,57
DSC Arminia Bielefeld,BIE,2010-02-22 00:00:00,40,45,50
DSC Arminia Bielefeld,BIE,2011-02-22 00:00:00,48,38,50
DSC Arminia Bielefeld,BIE,2014-09-19 00:00:00,54,36,48
FC Arouca,ARO,2014-09-19 00:00:00,37,35,37
FC Arouca,ARO,2015-09-10 00:00:00,39,37,37
Arsenal,ARS,2010-02-22 00:00:00,40,30,50
Arsenal,ARS,2011-02-22 00:00:00,40,50,45
Arsenal,ARS,2012-02-22 00:00:00,57,57,52
Arsenal,ARS,2013-09-20 00:00:00,54,64,52
Arsenal,ARS,2014-09-19 00:00:00,44,51,52
Arsenal,ARS,2015-09-10 00:00:00,44,51,52
